mrid,conducting_equipment,connect,connected_terminals,current_feeder_direction,name,phases,sequence_number,traced_phases,connected,base_voltage,connectivity_node,connectivity_node_id,current_phases.terminal,names,normal_phases.terminal
224908-118638,BusbarSection{224908},True,"[Terminal{734954-118638}, Terminal{33513220-118638}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{118638-cn},118638-cn,Terminal{224908-118638},<generator object ngen at 0x0000015E8FE996C0>,Terminal{224908-118638}
221592-116907,BusbarSection{221592},True,"[Terminal{205326-116907}, Terminal{221593-116907}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{116907-cn},116907-cn,Terminal{221592-116907},<generator object ngen at 0x0000015E8FE996C0>,Terminal{221592-116907}
603462-675363,AcLineSegment{603462},True,[Terminal{18004711-675363}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{675363-cn},675363-cn,Terminal{603462-675363},<generator object ngen at 0x0000015E8FE996C0>,Terminal{603462-675363}
21608-57547,AcLineSegment{21608},True,[Terminal{36474-57547}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{57547-cn},57547-cn,Terminal{21608-57547},<generator object ngen at 0x0000015E8FE996C0>,Terminal{21608-57547}
130254-593749,AcLineSegment{130254},True,"[Terminal{130256-593749}, Terminal{36097983-593749}, Terminal{501306-593749}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{593749-cn},593749-cn,Terminal{130254-593749},<generator object ngen at 0x0000015E8FE996C0>,Terminal{130254-593749}
729658-350263,Fuse{729658},True,[Terminal{653166-350263}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{350263-cn},350263-cn,Terminal{729658-350263},<generator object ngen at 0x0000015E8FE996C0>,Terminal{729658-350263}
714400-113188,Fuse{714400},True,[Terminal{213748-113188}],FeederDirection.BOTH,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{113188-cn},113188-cn,Terminal{714400-113188},<generator object ngen at 0x0000015E8FE996C0>,Terminal{714400-113188}
637222-700454,AcLineSegment{637222},True,[Terminal{637220-700454}],FeederDirection.BOTH,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-415},ConnectivityNode{700454-cn},700454-cn,Terminal{637222-700454},<generator object ngen at 0x0000015E8FE996C0>,Terminal{637222-700454}
20545636-302069,Junction{20545636},True,"[Terminal{164062-302069}, Terminal{651513-302069}, Terminal{347346-302069}, Terminal{651151-302069}, Terminal{729244-302069}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{302069-cn},302069-cn,Terminal{20545636-302069},<generator object ngen at 0x0000015E8FE996C0>,Terminal{20545636-302069}
20906028-208529,Junction{20906028},True,"[Terminal{411739-208529}, Terminal{411743-208529}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{208529-cn},208529-cn,Terminal{20906028-208529},<generator object ngen at 0x0000015E8FE996C0>,Terminal{20906028-208529}
659419-643670,AcLineSegment{659419},True,"[Terminal{560272-643670}, Terminal{659420-643670}, Terminal{579990-643670}, Terminal{579989-643670}]",FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{643670-cn},643670-cn,Terminal{659419-643670},<generator object ngen at 0x0000015E8FE996C0>,Terminal{659419-643670}
18011013-335749,EnergyConsumer{18011013},True,[Terminal{686957-335749}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{335749-cn},335749-cn,Terminal{18011013-335749},<generator object ngen at 0x0000015E8FE996C0>,Terminal{18011013-335749}
280516-410046,AcLineSegment{280516},True,[Terminal{15784804-410046}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{410046-cn},410046-cn,Terminal{280516-410046},<generator object ngen at 0x0000015E8FE996C0>,Terminal{280516-410046}
646915-319937,AcLineSegment{646915},True,"[Terminal{15741621-319937}, Terminal{646916-319937}, Terminal{532038-319937}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{319937-cn},319937-cn,Terminal{646915-319937},<generator object ngen at 0x0000015E8FE996C0>,Terminal{646915-319937}
304785-434982,AcLineSegment{304785},True,[Terminal{17337729-434982}],FeederDirection.DOWNSTREAM,,PhaseCode.ABC,2,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{434982-cn},434982-cn,Terminal{304785-434982},<generator object ngen at 0x0000015E8FE996C0>,Terminal{304785-434982}
712974-75677,Disconnector{712974},True,"[Terminal{21002948-75677}, Terminal{10408820-75677}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{75677-cn},75677-cn,Terminal{712974-75677},<generator object ngen at 0x0000015E8FE996C0>,Terminal{712974-75677}
25760-21703,AcLineSegment{25760},True,[Terminal{40894-21703}],FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-22000},ConnectivityNode{21703-cn},21703-cn,Terminal{25760-21703},<generator object ngen at 0x0000015E8FE996C0>,Terminal{25760-21703}
14405563-404967,Junction{14405563},True,"[Terminal{275385-404967}, Terminal{370864-404967}, Terminal{370867-404967}, Terminal{370866-404967}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-433},ConnectivityNode{404967-cn},404967-cn,Terminal{14405563-404967},<generator object ngen at 0x0000015E8FE996C0>,Terminal{14405563-404967}
11162590-121912,Junction{11162590},True,"[Terminal{39605-121912}, Terminal{236013-121912}]",FeederDirection.UPSTREAM,,PhaseCode.ABC,1,"TracedPhases(normal={A, B, C, NONE}, current={A, B, C, NONE})",True,BaseVoltage{base-voltage-22000},ConnectivityNode{121912-cn},121912-cn,Terminal{11162590-121912},<generator object ngen at 0x0000015E8FE996C0>,Terminal{11162590-121912}
